動画タイトル説明,動画タイトルテキストエリア1,動画タイトルテキストエリア2,動画場面1説明,動画場面1テキストエリア1,動画場面1テキストエリア2,動画場面2説明,動画場面2テキストエリア1,動画場面2テキストエリア2,動画場面3説明,動画場面3テキストエリア1,動画場面3テキストエリア2,投稿のテキスト,ハッシュタグ
if(Tech)ロゴとタイトル表示,学力日本一,東成瀬村発の教育革命,パソコンに向かう子どもの写真,マイクラで楽しく,プログラミング学習,マインクラフト画面のスクリーンショット,子どもたちが,夢中になる瞬間,笑顔の子どもたちの写真,全国の地方へ,オンラインでお届け,"全国の地方にお住まいの皆様へ
学力日本一の東成瀬村で生まれた
最先端プログラミング教育が
オンラインで全国の地方に届きます！

マインクラフトの世界で楽しく学びましょう",#学力日本一東成瀬村 #地方教育革命 #マインクラフト教育 #オンライン学習
if(Tech)のAI技術紹介画面,最新AI技術で,学びが変わる,AI画像認識のデモ画像,画像から,マイクラ建築物を一瞬で生成,建築物が瞬時に完成するマインクラフト画面,AI技術で,3Dオブジェクト自動生成,完成した建築物と驚く子どもの表情,最新技術を体験できる,if(Tech)だけの特別システム,"画像からマイクラ建築物を一瞬で生成！

AI技術で3Dオブジェクト自動生成
写真を撮るだけで一瞬建築

想像が現実になる瞬間を
一緒に体験しませんか？",#AI建築 #自動生成 #最新技術体験 #驚きの技術
保護者の悩みに共感する表情,ゲームばかりで,将来が心配?,ゲームばかりしていた子どもの様子,好きなことが,学びに変わる,マインクラフトで建築する同じ子どもの集中した表情,創造力が,開花する瞬間,完成作品を誇らしげに発表する子ども,将来の仕事に,つながる力へ,"地方の保護者あるあるですよね
「ゲームばかりで将来が心配...」

でも地方だからこそ！
その「好き」を「未来の仕事」に変える
学力日本一の教育メソッドがあります",#地方保護者あるある #好きを仕事に #将来の仕事 #子どもの可能性
if(Tech)実績紹介画面,500人以上の,子どもたちが成長,0から500へのカウンターアニメーション,確かな実績,信頼の証明,生徒作品群が連続表示される画面,完全初心者から,アプリ開発者へ,成長データのグラフ表示,全国コンテスト,入賞者も多数,"学力日本一の東成瀬村から
全国500人以上の子どもたちに届けてきました

・完全初心者 → アプリ開発者
・地方の子 → 全国コンテスト入賞

数字が証明する確かな実績！
次はあなたのお子さんの番です",#指導実績500人 #成長データ #コンテスト入賞 #確かな実績
if(Tech)の地域ビジョン,人口2500人の村から,世界へ挑戦,東成瀬村の田園風景,学力日本一の村から,世界へ,オンライン授業へのトランジション映像,田園風景から,オンライン授業へ,世界地図上の生徒作品ピンが表示される画面,秋田から世界へ,過疎化を可能性に変える,"学力日本一の村から世界へ
人口わずか2500人の東成瀬村が
全国の地方に最先端教育を届ける

オンライン技術で距離は関係なし！
過疎化？いいえ、可能性の宝庫です",#人口2500人の挑戦 #地方から世界へ #過疎化を可能性に #オンライン技術
緊急告知バナー,満席間近！,今すぐお申し込みを,申込み数カウンターアニメーション,予想以上に,殺到しています,席数の残りを視覚的に表示する画面,今週満席/来週残り3席,再来週残り7席,「残り○席」が点滅するテキスト,先着順のため,お早めに！,"緊急告知！
無料体験授業の申込みが
予想以上に殺到しています

📅 今週：満席
📅 来週：残り3席
📅 再来週：残り7席

先着順のため、お早めに！",#緊急告知 #体験授業 #満席間近 #先着順
if(Tech)ロゴとカウントダウン,オープンまで,あと2週間！,デジタル時計風カウントダウン表示,準備万端で,お迎えします,教室準備の舞台裏映像,カリキュラム完成,講師研修完了,オープン記念特典準備の様子,オープン記念特典も,準備中,"if(Tech)オープンまであと2週間！

✅ カリキュラム完成
✅ 講師研修完了
🔄 最終テスト中...
🎁 オープン記念特典準備中

万全の準備でお迎えします！",#オープンカウントダウン #準備完了 #記念特典 #2週間後スタート
if(Tech)独自システム紹介,目標宣言部屋で,学習意欲アップ,目標宣言部屋のスクリーンショット,if(Tech)だけの,特別な仕組み,AI画像認識システムのデモンストレーション,画像→3D変換,一瞬で建築物出現,建築物が完成して喜ぶ子どもの表情,目的を持った学習,挫折しない仕組み,"if(Tech)だけの特別な仕組み

✅ 目標宣言部屋で明確な目標設定
✅ AI画像認識で3D建築物自動生成
✅ 一瞬で完成する驚きの技術

目標があるから続けられる！
挫折しない学習システムです",#目標宣言部屋 #独自システム #AI技術 #挫折しない学習
学習フロー図解,30秒でわかる,if(Tech)の学習,目標宣言部屋での目標設定場面,目標設定,建築作業へ,建築作業に取り組む子どもたち,建築作業,発表と達成感,完成作品の発表シーンと達成感あふれる笑顔,最初に目標を宣言するから,ゴールが明確で挫折しにくい,"if(Tech)の学習の流れを30秒で！

1️⃣ 目標設定
2️⃣ 建築作業
3️⃣ 発表
4️⃣ 達成感

最初に目標を宣言するから
ゴールが見えて続けられる！

一人ひとりの成長が見える化されます",#学習の流れ #目標設定 #達成感 #見える化
達成の瞬間コンピレーション,子どもたちの,最高の笑顔,「やったー！」と喜ぶ子どもたちの瞬間,目標を達成した瞬間の,表情コンピレーション,一人ひとりの達成の瞬間をクローズアップ,一人ひとりの,達成の瞬間,みんなで喜び合う子どもたち,みんなで喜び合う,達成感が次への意欲に,"子どもたちが目標を達成した瞬間の
表情コンピレーション

「やったー！」の瞬間
一人ひとりの達成の感動

この笑顔が私たちの
何よりの喜びです

達成感が次への意欲を生み出します！",#目標達成 #子どもの笑顔 #達成感 #成長の瞬間
AI技術解説イラスト,AIの仕組みを,わかりやすく,AIが画像を認識する仕組みの解説画面,AI画像認識の,仕組みを解説,写真から3D建築物への変換過程,写真→AI認識,3Dモデル自動生成,マインクラフト内建築の完成場面,一瞬で完成,最新技術を身近に,"AIの力で何ができる？
画像認識の仕組みを
わかりやすく解説します！

1️⃣ 写真を撮る
2️⃣ AIが認識・分析
3️⃣ 3Dモデル自動生成
4️⃣ 一瞬でマイクラに建築

最新技術を身近に体験できます",#AI技術 #画像認識 #最新技術 #未来の学習
講師による目標設定サポート,親子で共有する,夢と目標,効果的な目標設定の方法を説明する講師,効果的な,目標設定の方法,SMART目標の立て方のデモンストレーション,SMART目標で,具体的で測定可能に,親子で目標を共有する温かい場面,親子で共有する夢,目標達成の喜びを分かち合う,"効果的な目標設定の方法
子どもの意欲を引き出す声かけのコツ

✅ 具体的で測定可能な目標
✅ 短期・中期・長期の計画
✅ 親子で共有する夢

目標設定から達成まで
丁寧にサポートします！",#目標設定 #親子で目標 #SMART目標 #サポート体制
