表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト+ハッシュタグ
明るい教室で3人の小学生がノートパソコンに向かって集中している写真。自然光が差し込む窓、木製のテーブル、カラフルな筆箱や水筒が置かれている。子どもたちは笑顔で画面を見ている。写真は横からのアングルで撮影。,プログラミング\nって難しい?,実は\nマイクラで\n楽しく学べます,マインクラフトのゲーム画面。鮮やかな緑の草原に建設中の大きな城が映っている。青い空と白い雲が広がり、ブロック特有のカラフルな質感。建築物の前にマイクラキャラクターが立っている。,好きなゲームが,学びの教材に\n変わる瞬間,小学生の男の子がパソコン画面を見て目を輝かせている写真。講師の若い男性が隣で優しくサポートしている様子。デスクにはノートPCとマウス。明るい教室環境で自然光が差し込んでいる。,講師が優しく,サポートするから\n安心して学べる,3人の小学生が完成したマイクラ作品の前で笑顔を見せている写真。達成感あふれる表情。パソコン画面には完成した建築物が映っている。カラフルな服を着た子どもたち。,作品完成の\n瞬間,この笑顔が\nすべてを\n物語ります,ゲームばかりで心配していませんか。if(Tech)ではマインクラフトを使って楽しくプログラミングを学べます。遊びが学びに変わる瞬間を、お子さんと一緒に体験しませんか。講師が優しくサポートするので初心者でも安心です。\n#プログラミング教室\n#マインクラフト\n#子どもの教育\n#オンライン学習
カラフルなグラデーション背景（ピンク・青・紫）にアニメ調の小学生キャラクター2人が笑顔で描かれたイラスト。1人は青いパーカー、もう1人はグレーのシャツ。音符やキラキラエフェクトが周りに浮かんでいる。,毎週木曜日\n17時から,オンラインで\n全国から\n参加できる,パソコンとヘッドセットを使ってオンライン授業を受けている小学生の写真。Discord画面が映っており、画面共有で講師のサポートを受けている様子。明るい自室で集中している表情。,Discordで,リアルタイム\nサポート,マインクラフトで日本の城を建築している画面。大阪城風の立派な城が完成している様子。青い空、緑の草原、細部まで再現された美しい建築物。ダイナミックな斜め下からのアングル。,歴史も学べる,建築\nプロジェクト,全国の仲間とつながるオンライン授業の様子。複数の生徒がDiscordで交流している画面。笑顔で話し合う子どもたち。,全国の仲間と,一緒に学べる\n楽しさ,全国どこからでも参加できるオンライン授業を毎週木曜日17時から開講しています。Discordを使ったリアルタイムサポートで、画面を共有しながら講師が直接指導します。日本の城を再現するなど、遊びながら歴史も学べる一石二鳥のカリキュラムです。\n#オンライン授業\n#Discord\n#毎週木曜日\n#全国どこでも
明るい教室で小学生の女の子2人がパソコンに向かって真剣に学習している写真。自然光が差し込み、木製のテーブルに黄色と青の筆箱が置かれている。講師が後ろから優しく見守っている様子。,ICTスキルって\n何?,これからの時代の\n読み書き\nそろばん,マインクラフトのコマンドブロック画面。複雑なプログラミングコードが表示されているゲーム内画面。ブロックが整然と並び、システムが動作している様子。鮮やかな色のブロックとGUI。,コマンドで,プログラミング\nの基礎を学ぶ,アニメ調イラストで、青いパーカーの男の子キャラクターがノートパソコンに向かっている絵。背景は明るいグラデーション（黄色からオレンジ）。キラキラエフェクトと電球アイコンが周りに浮かんでいる。,楽しみながら,未来のスキルが\n身につく,小学生がパソコンでプログラミングに取り組んでいる写真。真剣な表情でキーボードを打っている。画面には色とりどりのコードが表示されている。,コードを書く,楽しさを知る\n第一歩,ICTスキルはこれからの時代の読み書きそろばんです。if(Tech)ではマインクラフトのコマンドブロックを使って、プログラミングの基礎を楽しく学べます。遊びながら論理的思考力や創造性が育ち、未来を生き抜く力が自然と身につきます。\n#ICTスキル\n#プログラミング基礎\n#論理的思考力\n#未来のスキル
3人の小学生が笑顔でパソコンを囲んでいる写真。達成感あふれる表情で、画面には完成したマイクラ作品が映っている。明るい教室、自然光、カラフルな服装。横からのアングルで温かい雰囲気。,初心者でも\n大丈夫?,段階的に\nステップアップ\nできます,マインクラフトの基本操作画面。シンプルな家の建築から始めている初心者向けの作業風景。草原に小さな木造の家が建っている。明るく優しい雰囲気。,STEP1,基本操作から\nスタート,マインクラフト内の壮大な現代都市建築。高層ビル群、道路、公園が細部まで作り込まれている。ダイナミックな視点から見た完成度の高い作品。青空と白い雲。,STEP2,本格的な\n建築物へ成長,小学生が講師に質問している写真。講師が優しく丁寧に説明している様子。わかりやすい指導で安心した表情の子ども。明るい教室環境。,わからない時は,いつでも\n質問できる,初心者でも安心してください。if(Tech)では段階的なカリキュラムで、基本操作から本格的なプログラミングまで無理なくステップアップできます。最初は簡単な家の建築から始めて、最終的には現代都市も作れるようになります。一人ひとりのペースに合わせて丁寧に指導します。\n#初心者歓迎\n#段階的学習\n#ステップアップ\n#安心サポート
明るい教室で小学生の男の子がパソコンに集中している写真。真剣な表情で画面を見つめ、キーボードに手を置いている。自然光が差し込み、デスクには水筒とノートが置かれている。,集中力が\n続かない?,好きなことだから\n夢中になれる,マインクラフトで巨大な秘密基地を建築している画面。ツリーハウス風の複雑な構造物が森の中に建っている。緑豊かな環境、木々に囲まれた創造的な建築物。,自分だけの,秘密基地を\n作ろう,小学生2人がパソコン画面を見て喜んでいる写真。完成した作品に満足そうな笑顔。講師も一緒に喜んでいる温かい雰囲気。明るい教室環境。,達成感が,次への\nモチベーション,マインクラフトで冒険をしている画面。広大な世界を探索し、新しい発見をする楽しさ。ワクワクする冒険の瞬間。,探索も楽しい,発見する喜びが\n学びを深める,集中力が続かないお子さんも、好きなことなら夢中になれます。マインクラフトで自分だけの秘密基地を作るプロジェクトでは、子どもたちの創造性が爆発します。作品が完成したときの達成感が、次の学習へのモチベーションになり、自然と継続力が育ちます。\n#集中力アップ\n#好きなこと\n#達成感\n#継続力
アニメ調イラストで、グレーのシャツを着た男の子キャラクターがギターを持って笑顔で演奏している絵。背景はカラフルなグラデーション（ピンク・オレンジ・黄色）。音符が飛び交っている。,好きなことを\n見つけよう,マイクラだけじゃない\n動画編集も\n学べる,パソコンで動画編集ソフトを使っている画面イメージ。タイムラインに複数のクリップが並び、エフェクトやトランジションが適用されている様子。カラフルな編集インターフェース。,動画編集で,表現力を\n磨こう,小学生がパソコンで自分の作品を発表している写真。プレゼンテーション中の真剣な表情。画面には編集した動画やスライドが映っている。明るい教室環境。,発表の場で,コミュニケーション\n力もアップ,完成した動画作品を見て喜ぶ小学生の写真。自分で編集した動画が再生されている様子。達成感あふれる笑顔。,自分の作品,世界に一つだけの\n動画完成,if(Tech)ではマインクラフトだけでなく、動画編集も学べます。自分の好きなことを見つけて、表現力を磨くことができます。作品を発表する場も用意しているので、プレゼンテーション力やコミュニケーション力も自然と身につきます。\n#動画編集\n#表現力\n#プレゼンテーション\n#好きなこと
マインクラフトで建築中の巨大な遊園地の画面。ジェットコースター、観覧車、メリーゴーラウンドなどのアトラクションが配置されている。カラフルで楽しい雰囲気。青い空と緑の草原。,想像力を,形にする力,小学生3人がパソコンを囲んで協力しながら作業している写真。互いに意見を出し合い、画面を指さしながら話し合っている様子。明るい教室、自然光が差し込む。,チームワークで,協働力も\n育つ,完成した遊園地で遊んでいるマイクラキャラクターの画面。アトラクションが動いている様子。楽しそうな雰囲気のゲーム内風景。,完成した作品で,実際に遊べる\n喜び,小学生が設計図を描いている写真。ノートに鉛筆で遊園地の配置図を書いている。計画的に考える力を育む場面。,計画を立てる,設計図から\n始まる創造,想像力を形にする力を育てます。自分だけの遊園地を作るプロジェクトでは、創造性だけでなく計画性や問題解決力も必要です。友達と協力しながら作業することで、チームワークや協働力も自然と身につきます。完成した作品で実際に遊べる喜びは格別です。\n#想像力\n#創造性\n#チームワーク\n#協働力
小学生の男の子がパソコン画面を見て驚きの表情を見せている写真。目を大きく開けて、口を開けた驚きの顔。講師が隣で笑顔で見守っている。明るい教室環境、自然光。,AI技術で\nビックリ体験,写真が一瞬で\nマイクラ建築に\n変わる,マインクラフトのきのこの3Dモデル画像。鮮やかな緑の背景に、茶色と白のリアルなきのこブロックが浮かんでいる。AIで生成された3Dオブジェクト。,AI画像認識で,3Dモデル\n自動生成,スマホで撮影した実物のきのこ写真からマイクラ内にきのこ建築が完成している画面の比較イメージ。ピンクの矢印で変換プロセスを示している。驚きの技術を視覚的に表現。,写真を撮るだけ,一瞬で建築\n完成,小学生がスマホで写真を撮っている様子。講師が横でサポートしている。AI技術を使った学習の第一歩。明るい教室環境。,身近なものを,デジタル化する\n楽しさ,最新のAI技術で驚きの体験ができます。写真を撮るだけで、AI画像認識が3Dモデルを自動生成し、一瞬でマインクラフト内に建築物が完成します。この技術を通じて、AIの仕組みや可能性を楽しく学べます。想像が現実になる瞬間を体験してください。\n#AI技術\n#画像認識\n#3D生成\n#最新技術
明るい教室で小学生2人が嬉しそうにパソコン画面を見ている写真。笑顔でハイタッチしそうな喜びの表情。デスクには黄色と青の筆箱、水筒が置かれている。自然光が差し込む温かい雰囲気。,学力日本一\n東成瀬村発,地方から\n全国へ\n教育革命,秋田県東成瀬村の田園風景を背景にした画像イメージ。緑豊かな田んぼと山々、青い空。地方の美しい自然環境。穏やかで希望に満ちた雰囲気。,人口2500人の村,最先端教育を\n全国に届ける,オンライン授業でパソコンに向かう全国各地の子どもたちのイメージ。複数の画面が並び、それぞれの家庭から参加している様子。全国がつながる感覚。,距離は関係なし,どこからでも\n参加できる,東成瀬村の学校の外観写真。学力日本一を支える教育環境。自然に囲まれた美しい学び舎。,学びの環境,質の高い教育を\nオンラインで,学力日本一の東成瀬村から全国へ教育革命を起こします。人口わずか2500人の小さな村が、オンライン技術を使って最先端のプログラミング教育を全国に届けています。距離は関係ありません。どこに住んでいても、質の高い教育を受けられる時代です。\n#東成瀬村\n#地方創生\n#教育革命\n#オンライン教育
マインクラフトでレッドストーン回路を使った自動ドアの仕組み画面。複雑な配線とブロックが組み合わさっている。赤い光が特徴的なレッドストーン回路。プログラミング的思考を視覚化。,論理的思考力,って何?,マインクラフトのコマンドブロックでif文を使ったプログラミング画面。条件分岐の仕組みが視覚的に表現されている。ゲーム内のGUIとブロック配置。,if文で,条件分岐を\n学ぶ,小学生がパソコン画面を見て真剣に考えている写真。頬に手を当てて思考している様子。問題解決に取り組む集中した表情。明るい教室環境、自然光。,問題を解決する,試行錯誤の\nプロセス,マインクラフトでレッドストーン回路の配線を工夫している画面。複数のルートを試している様子。論理的に考える訓練。,色々試して,最適な答えを\n見つける,論理的思考力とは、筋道立てて考える力のことです。マインクラフトのレッドストーン回路やコマンドブロックを使って、if文などのプログラミング的思考を楽しく学べます。問題を解決するために試行錯誤するプロセスで、自然と論理的思考力が育ちます。\n#論理的思考力\n#プログラミング的思考\n#問題解決力\n#試行錯誤
アニメ調イラストで、青いパーカーの男の子キャラクターがパソコンに向かって集中している絵。背景は明るい青とピンクのグラデーション。電球や歯車のアイコンが周りに浮かんでいる。,将来の職業,どう選ぶ?,マインクラフトでゲーム開発をしている画面イメージ。複雑なシステムが組み上がっている様子。ゲームクリエイターへの道を示唆。カラフルで創造的な画面。,ゲーム\nクリエイター,好きを仕事に\nできる,パソコンでアプリ開発をしている画面イメージ。プログラミングコードとアプリのUIが表示されている。現代的で洗練されたデザイン。将来性のある職業を示唆。,アプリ開発者,世界中の人に\n届けられる,AIエンジニアの仕事をイメージさせる画面。機械学習のモデルやデータ分析の様子。最先端技術に触れる職業。,AIエンジニア,最先端技術で\n社会を変える,プログラミングを学ぶと将来の職業の選択肢が大きく広がります。ゲームクリエイター、アプリ開発者、AIエンジニアなど、これからの時代に必要とされる職業がたくさんあります。好きなことを仕事にして、世界中の人に自分の作品を届けられる未来が待っています。\n#将来の職業\n#ゲームクリエイター\n#アプリ開発\n#キャリア教育
小学生3人がパソコンを囲んで楽しそうに話し合っている写真。笑顔で意見を出し合い、指を指しながらディスカッションしている様子。明るい教室、自然光、温かい雰囲気。,一人じゃない,仲間と一緒に\n学ぶから\n楽しい,マインクラフトのワールドツアー画面。複数の生徒が作った作品を見学している様子。様々な建築物が並ぶワールド内を探索している視点。,月1回の,作品発表会で\n交流,オンラインで全国の仲間と交流しているイメージ。Discord画面で複数の参加者が映っている様子。笑顔のアイコンやリアクション。全国がつながる感覚。,全国の仲間と,距離を超えた\n友情が芽生える,小学生がオンラインで他の生徒の作品にコメントしている写真。お互いに刺激し合う様子。温かい励ましの言葉を送り合う。,励まし合って,共に成長する\n仲間,一人で学ぶのではなく、仲間と一緒だから楽しく続けられます。月1回の作品発表会では、全国の仲間の作品を見学したり、自分の作品をプレゼンしたりします。オンラインで距離を超えた友情が芽生え、お互いに刺激し合いながら成長できる環境です。\n#仲間と学ぶ\n#作品発表会\n#オンライン交流\n#全国の友達
明るい教室で保護者と講師が笑顔で話している写真。保護者が安心した表情で講師の説明を聞いている様子。背景には学習中の子どもたちの姿。温かく信頼感のある雰囲気。,保護者の方も\n安心,丁寧な\nサポート体制,パソコン画面に学習進捗レポートが表示されている画面イメージ。グラフやデータで子どもの成長が可視化されている。見やすく分かりやすいレポート。,学習状況を,定期的に\nご報告,小学生が自宅でオンライン授業を受けている写真。保護者が少し離れた場所から温かく見守っている様子。安心して任せられる雰囲気。明るい自宅環境。,ご家庭での,サポート方法も\nアドバイス,保護者向けの勉強会が開催されている様子。講師が保護者に説明している場面。家庭での声かけ方法を学ぶ。,保護者勉強会,子どもの成長を\n一緒に見守る,保護者の方も安心していただける丁寧なサポート体制を整えています。お子さんの学習状況を定期的にご報告し、成長の様子を可視化します。ご家庭でのサポート方法もアドバイスいたしますので、親子で一緒に成長を見守ることができます。\n#保護者サポート\n#学習報告\n#安心サポート\n#家庭連携
マインクラフトで電車の駅を建築している画面。ホーム、線路、駅舎が細部まで再現されている。リアルな駅の構造。青い空と都市的な背景。ダイナミックな視点。,好きなものを\n再現しよう,電車好きな子は\n駅を作る,マインクラフトで動物園を建築している画面。様々な動物のエリア、檻、通路が配置されている。緑豊かで楽しい雰囲気の動物園。カラフルで創造的。,動物好きな子は,動物園を作る,小学生の男の子が嬉しそうにパソコン画面を見ている写真。自分の好きなものを再現できた達成感あふれる笑顔。明るい教室環境、自然光。,好きなことだから,どこまでも\n追求できる,マインクラフトで宇宙ステーションを建築している画面。SF好きな子どもの創造力が発揮された作品。未来的なデザイン。,宇宙も再現,興味の数だけ\n可能性がある,好きなものを再現できるのがマインクラフトの魅力です。電車好きな子は駅を作り、動物好きな子は動物園を作ります。自分の興味を形にすることで、観察力や再現力が育ちます。好きなことだから、どこまでも追求できる。それが学びの原動力になります。\n#好きなこと\n#観察力\n#創造性\n#興味を形に
小学生2人がパソコンでデバッグ作業をしている写真。真剣な表情で画面のエラーを探している様子。問題解決に取り組む集中した表情。明るい教室、自然光。,間違えても\n大丈夫,失敗は成長の\nチャンス,マインクラフトで建築が崩れている画面。ブロックが一部欠けていたり、意図しない配置になっている失敗例。でもそこから学べることを示唆。,失敗から学ぶ,トライ&エラーの\n繰り返し,小学生が問題を解決して喜んでいる写真。エラーを修正できた達成感のある笑顔。ガッツポーズをしている様子。明るい教室環境。,解決できた,この瞬間が\n最高の学び,講師が小学生にエラーの原因を一緒に考えている写真。優しくヒントを出しながらサポートしている様子。自分で答えを見つける喜び。,ヒントをもらい,自分で考える\n力を育てる,間違えても大丈夫。失敗は成長のチャンスです。プログラミング学習では、トライ&エラーの繰り返しが何より大切です。エラーを見つけ、原因を考え、解決する。このプロセスで問題解決力が育ちます。解決できた瞬間の喜びが、次の挑戦への原動力になります。\n#失敗は成長のチャンス\n#トライアンドエラー\n#問題解決\n#挑戦する心
アニメ調イラストで、複数のキャラクターが笑顔で集まっている絵。青いパーカー、グレーのシャツ、様々な服装の子どもたち。背景はカラフルなグラデーション。星やキラキラエフェクト。,無料体験\n受付中,まずは試して\nみませんか,明るい教室で初めての体験授業を受けている親子の写真。子どもが楽しそうにパソコンに向かい、保護者が隣で安心した表情で見守っている。温かい雰囲気。,クレカ不要,完全無料で\n体験できる,小学生がマインクラフトで初めての建築を楽しんでいる写真。講師が優しくサポートしている様子。嬉しそうな表情。明るい教室、自然光。,初めてでも,講師が優しく\nサポート,体験授業を終えた親子が笑顔で話している写真。子どもが興奮気味に感想を話している。保護者も満足そうな表情。,体験後は,楽しかった！\nの声多数,無料体験授業を受付中です。クレジットカード不要で完全無料で体験できます。初めてでも講師が優しくサポートしますので安心してください。まずは実際に体験して、お子さんの反応を見てみませんか。楽しく学べる環境を実感していただけます。\n#無料体験\n#体験授業受付中\n#クレカ不要\n#初めてでも安心
マインクラフトで複雑なレッドストーン回路を使った装置の画面。自動化システムが動いている様子。ホッパー、チェスト、レッドストーンが組み合わさった高度な仕組み。,自動化の仕組み,を学ぼう,小学生がパソコンで自動化プログラムを作っている写真。真剣に画面を見つめ、キーボードを打っている様子。問題解決に取り組む集中した表情。明るい教室。,プログラミングの,本質は\n自動化,自動化システムが完成して喜ぶ小学生の写真。装置がうまく動いた瞬間の達成感あふれる笑顔。ガッツポーズをしている。明るい教室環境、自然光。,完成した瞬間,この達成感が\nたまらない,マインクラフトで自動農場を作っている画面。作物が自動的に収穫される仕組み。効率化の楽しさを実感。,自動農場,効率化する\n喜びを体験,自動化の仕組みを学ぶことで、効率化する考え方が身につきます。プログラミングの本質は自動化です。マインクラフトのレッドストーン回路を使って、複雑な装置を作ることで、論理的思考力と創意工夫する力が育ちます。完成した瞬間の達成感は格別です。\n#自動化\n#効率化\n#レッドストーン回路\n#プログラミングの本質
小学生3人がパソコンでプレゼンテーション資料を作成している写真。画面にはスライドと画像が表示されている。協力しながら作業している様子。明るい教室、自然光。,発表する力,も大切,小学生が前に立ってプレゼンテーションをしている写真。自信を持って話している様子。聞いている仲間たちの真剣な表情。発表の場面。明るい環境。,月1回の,ワールドツアーで\nプレゼン練習,プレゼン後に拍手を受けて嬉しそうな小学生の写真。達成感と自信にあふれた笑顔。仲間たちも一緒に喜んでいる。温かい雰囲気。,発表力が,将来の武器に\nなる,小学生がプレゼン資料を準備している写真。どう伝えるか考えながら資料を作成。わかりやすく説明する工夫。,伝え方を,工夫する力も\n身につく,発表する力も大切なスキルです。月1回のワールドツアーでは、自分の作品を仲間にプレゼンする機会があります。自分の考えを伝える練習を重ねることで、発表力やコミュニケーション力が育ちます。この力は将来どんな職業に就いても役立つ武器になります。\n#プレゼン力\n#発表力\n#コミュニケーション力\n#ワールドツアー
